sep=,
sender,timestamp,longitude,latitude,acc,batt,charge,time,emergency,azimuth,signalStrength,wifiSignalStrength
igudelj@risnjak,2024-06-14 12:02:37+02:00,18.6966,45.549,0,64,0,0,0,318.49,-200.0,-50.0
rdean@risnjak,2024-06-14 12:02:43+02:00,18.6962,45.5487,0,36,0,0,0,11.054657,-69.0,-200.0
kpopovic@risnjak,2024-06-14 12:02:46+02:00,18.6963,45.5487,0,87,0,0,0,137.01498,-200.0,-41.0
igudelj@risnjak,2024-06-14 12:02:47+02:00,18.6966,45.549,0,64,0,0,0,318.92038,-200.0,-50.0
rdean@risnjak,2024-06-14 12:02:53+02:00,18.6962,45.5487,0,36,0,0,0,11.054657,-69.0,-200.0
kpopovic@risnjak,2024-06-14 12:02:56+02:00,18.6963,45.5487,0,87,0,0,0,135.61304,-200.0,-44.0
igudelj@risnjak,2024-06-14 12:02:57+02:00,18.6966,45.549,0,64,0,0,0,318.71902,-200.0,-50.0
rdean@risnjak,2024-06-14 12:03:03+02:00,18.6962,45.5487,0,36,0,0,0,11.054657,-69.0,-200.0
kpopovic@risnjak,2024-06-14 12:03:06+02:00,18.6963,45.5487,0,87,0,0,0,136.87402,-200.0,-43.0
igudelj@risnjak,2024-06-14 12:03:07+02:00,18.6966,45.549,0,64,0,0,0,318.3951,-200.0,-50.0
rdean@risnjak,2024-06-14 12:03:13+02:00,18.6962,45.5487,0,36,0,0,0,11.054657,-69.0,-200.0
kpopovic@risnjak,2024-06-14 12:03:16+02:00,18.6963,45.5487,0,87,0,0,0,136.92938,-200.0,-46.0
igudelj@risnjak,2024-06-14 12:03:17+02:00,18.6966,45.549,0,64,0,0,0,318.5398,-200.0,-50.0
rdean@risnjak,2024-06-14 12:03:23+02:00,18.6962,45.5487,0,36,0,0,0,11.054657,-69.0,-200.0
kpopovic@risnjak,2024-06-14 12:03:26+02:00,18.6963,45.5487,0,87,0,0,0,137.00104,-200.0,-43.0
igudelj@risnjak,2024-06-14 12:03:27+02:00,18.6966,45.549,0,64,0,0,0,318.63693,-200.0,-50.0
